Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L),Temperature (ºF),Temperature (ºC),pH,pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L)
1,0.1016412747078769,-0.029207683549523304,0.04657739207807036,-0.09977641568007355,0.04563564437843081,-0.08637397745555547,0.5459510904326141,-0.07546511071627283,-0.08158164654904315,0.04109081385268586,0.040466799568149435,0.054177622564099956,-0.007123268115943248,0.051838795759156425,0.05113579761073141,-0.05762599424417558,0.02485900390938079,0.010697952437139705,0.025521446837739062,0.05480531601037084,0.006345663872329783,0.04463738419444989
0.1016412747078769,1,0.2811621053050867,0.196124833573723,0.002455511196279457,0.25698467540188424,-0.041109071195030066,0.44475395674057006,0.2258159773582427,0.24513506141611982,-0.19247975901712097,-0.09315668461323028,-0.1306065936877131,0.001798573410931582,0.06785637711918273,0.06783941782499094,-0.015873850713756268,-0.1946244831523984,0.17200726172849365,-0.30670677757228076,0.09063088986722992,0.04467475265413103,0.06488516159530264
-0.029207683549523304,0.2811621053050867,1,0.6182073762130453,-0.13810855209147105,-0.06399844820356337,0.1487519483249983,-0.21128331324083688,0.35685520527978465,0.40174945421554825,-0.32100582497896846,-0.3783430196592555,-0.1390332583591188,0.08187046571004505,-0.003345097949601806,0.0022724407212561695,-0.09524186882165013,-0.4175928187508543,0.09040396440341408,-0.3664399006050296,0.14114012924747424,-0.14025937306122135,0.010579399840988041
0.04657739207807036,0.196124833573723,0.6182073762130453,1,-0.07666298890409506,-0.12008867023601172,0.12378508656016138,-0.016070871532697022,0.0017003448468054763,0.11646347218204084,-0.11370479108378677,-0.28962333246162814,-0.23382682555920928,-0.138269964280383,-0.06671552132238588,-0.0633182368855352,-0.023536615690385624,-0.19612853748586492,0.03855881685166787,-0.19365136196815644,0.07364762340368274,-0.21820723603664754,-0.059664650522126626
-0.09977641568007355,0.002455511196279457,-0.13810855209147105,-0.07666298890409506,1,0.15242769386977617,-0.10041138082718154,0.2999942341547016,0.08724317753528846,-0.02454861882451316,0.07130615195683465,-0.20227500849294117,0.1034415106282644,0.08220124719148211,0.1129532242270147,0.11545858120593738,0.09030681652306242,0.16372825202148822,0.2082457002645688,0.037916484146840304,0.005358605119038247,0.028083290397615254,0.11090749738344843
0.04563564437843081,0.25698467540188424,-0.06399844820356337,-0.12008867023601172,0.15242769386977617,1,0.06873189661110404,-0.3809038332581483,0.4641199468889886,0.3134683792043966,-0.2744006024600528,0.1363852101535022,-0.09066208196112358,0.08175745638631902,0.15987355462867525,0.15388861276579946,-0.051188904495066745,0.0013912795664970344,0.08423973780878828,-0.48616992331627246,-0.010169490219869895,0.22099798123643863,0.14543610231010326
-0.08637397745555547,-0.041109071195030066,0.1487519483249983,0.12378508656016138,-0.10041138082718154,0.06873189661110404,1,-0.4328243662501418,0.16011515620312616,0.1948733359654179,-0.2753279586271769,0.04697971342684778,-0.28782295817650216,-0.15819125703454248,-0.19362847202967295,-0.18541825335596204,-0.10980129341167669,-0.14196236732644868,-0.20248786897156296,-0.33851340617493136,-0.16822102336251607,-0.17350262686346593,-0.1893988509427814
0.5459510904326141,0.44475395674057006,-0.21128331324083688,-0.016070871532697022,0.2999942341547016,-0.3809038332581483,-0.4328243662501418,1,-0.45150765703007184,-0.44627758644954685,0.029240976812447295,0.07753850550285875,-0.3968431976999824,-0.5053378244383212,-0.3127306306714961,-0.36560665961036065,0.2583596517545909,0.23312543638660777,0.24529815337754868,0.031087469078812522,-0.02386179725600679,-0.38291832840877055,-0.3879752562070212
-0.07546511071627283,0.2258159773582427,0.35685520527978465,0.0017003448468054763,0.08724317753528846,0.4641199468889886,0.16011515620312616,-0.45150765703007184,1,0.9972283988043799,-0.30757171284106033,0.17521247022190423,0.19504775715059663,0.6428072013568203,-0.163971479483807,-0.16356573427586626,-0.01141506814635362,-0.30116481868176115,-0.11455576824152827,-0.5917755567997618,0.12476193501592593,-0.025712045443862314,-0.1474260453025178
-0.08158164654904315,0.24513506141611982,0.40174945421554825,0.11646347218204084,-0.02454861882451316,0.3134683792043966,0.1948733359654179,-0.44627758644954685,0.9972283988043799,1,-0.27674621157412865,0.11720648815806273,0.13421106908065306,0.5988847897515703,-0.040857706927361306,-0.04116724667377127,-0.03054449087370869,-0.3668206205492886,-0.11628483390065797,-0.4431067178644235,0.11523917196092377,-0.026936992744842393,-0.023833133085197893
0.04109081385268586,-0.19247975901712097,-0.32100582497896846,-0.11370479108378677,0.07130615195683465,-0.2744006024600528,-0.2753279586271769,0.029240976812447295,-0.30757171284106033,-0.27674621157412865,1,-0.3828062827045013,0.18853527393085073,0.018539026087529217,0.23546843957881441,0.23425737542772465,0.13272837213137761,0.4298542333227087,0.22345603078737541,0.678866131471131,0.18941722281803902,0.03214259769573547,0.23696221933591888
0.040466799568149435,-0.09315668461323028,-0.3783430196592555,-0.28962333246162814,-0.20227500849294117,0.1363852101535022,0.04697971342684778,0.07753850550285875,0.17521247022190423,0.11720648815806273,-0.3828062827045013,1,-0.3916606205192666,-0.3785735769515767,-0.39672268218083095,-0.4022242992246123,0.10751166958512617,-0.013808603058286281,-0.2983590655576796,0.08367777999538313,0.11675248318156799,0.13190785582373415,-0.3910684582938371
0.054177622564099956,-0.1306065936877131,-0.1390332583591188,-0.23382682555920928,0.1034415106282644,-0.09066208196112358,-0.28782295817650216,-0.3968431976999824,0.19504775715059663,0.13421106908065306,0.18853527393085073,-0.3916606205192666,1,0.8684706775143143,0.9952004193375544,0.9948891544106557,-0.4136025822159504,-0.07469769957624656,0.04292179758818871,0.22826626837018707,0.014622496938952982,0.021190810340454263,0.9950311520481038
-0.007123268115943248,0.001798573410931582,0.08187046571004505,-0.138269964280383,0.08220124719148211,0.08175745638631902,-0.15819125703454248,-0.5053378244383212,0.6428072013568203,0.5988847897515703,0.018539026087529217,-0.3785735769515767,0.8684706775143143,1,0.992380105601081,0.992144112543993,-0.40072760823710163,-0.22598637042271583,0.029179271361451313,-0.02737509913129129,0.019682887998097205,4.811216525446068e-4,0.9941076893485447
0.051838795759156425,0.06785637711918273,-0.003345097949601806,-0.06671552132238588,0.1129532242270147,0.15987355462867525,-0.19362847202967295,-0.3127306306714961,-0.163971479483807,-0.040857706927361306,0.23546843957881441,-0.39672268218083095,0.9952004193375544,0.992380105601081,1,0.9995388887310519,-0.40943133240347596,-0.16808071005014974,0.04694922337411255,0.012385243773968676,0.025747364405625098,0.05133171190274392,0.997378890710925
0.05113579761073141,0.06783941782499094,0.0022724407212561695,-0.0633182368855352,0.11545858120593738,0.15388861276579946,-0.18541825335596204,-0.36560665961036065,-0.16356573427586626,-0.04116724667377127,0.23425737542772465,-0.4022242992246123,0.9948891544106557,0.992144112543993,0.9995388887310519,1,-0.4148361740720168,-0.17381564063346475,0.04397356125754431,0.012796358514969276,0.024288747019906798,0.05228699964304451,0.9973759331854054
-0.05762599424417558,-0.015873850713756268,-0.09524186882165013,-0.023536615690385624,0.09030681652306242,-0.051188904495066745,-0.10980129341167669,0.2583596517545909,-0.01141506814635362,-0.03054449087370869,0.13272837213137761,0.10751166958512617,-0.4136025822159504,-0.40072760823710163,-0.40943133240347596,-0.4148361740720168,1,0.9534308860228526,0.3568086926465484,-0.027233159137931326,0.06711405608769219,0.009791660197982475,-0.42042501987093783
0.02485900390938079,-0.1946244831523984,-0.4175928187508543,-0.19612853748586492,0.16372825202148822,0.0013912795664970344,-0.14196236732644868,0.23312543638660777,-0.30116481868176115,-0.3668206205492886,0.4298542333227087,-0.013808603058286281,-0.07469769957624656,-0.22598637042271583,-0.16808071005014974,-0.17381564063346475,0.9534308860228526,1,0.5120179942990482,0.2119909009072696,0.11744755644799365,0.014487085196614192,-0.18019128726110026
0.010697952437139705,0.17200726172849365,0.09040396440341408,0.03855881685166787,0.2082457002645688,0.08423973780878828,-0.20248786897156296,0.24529815337754868,-0.11455576824152827,-0.11628483390065797,0.22345603078737541,-0.2983590655576796,0.04292179758818871,0.029179271361451313,0.04694922337411255,0.04397356125754431,0.3568086926465484,0.5120179942990482,1,-0.009819270296224876,0.2584725420102682,0.03531627007405662,0.01783024719373365
0.025521446837739062,-0.30670677757228076,-0.3664399006050296,-0.19365136196815644,0.037916484146840304,-0.48616992331627246,-0.33851340617493136,0.031087469078812522,-0.5917755567997618,-0.4431067178644235,0.678866131471131,0.08367777999538313,0.22826626837018707,-0.02737509913129129,0.012385243773968676,0.012796358514969276,-0.027233159137931326,0.2119909009072696,-0.009819270296224876,1,0.09026178662737094,0.07932964817958665,0.012211371046324936
0.05480531601037084,0.09063088986722992,0.14114012924747424,0.07364762340368274,0.005358605119038247,-0.010169490219869895,-0.16822102336251607,-0.02386179725600679,0.12476193501592593,0.11523917196092377,0.18941722281803902,0.11675248318156799,0.014622496938952982,0.019682887998097205,0.025747364405625098,0.024288747019906798,0.06711405608769219,0.11744755644799365,0.2584725420102682,0.09026178662737094,1,0.35332769725902236,0.030419726917127746
0.006345663872329783,0.04467475265413103,-0.14025937306122135,-0.21820723603664754,0.028083290397615254,0.22099798123643863,-0.17350262686346593,-0.38291832840877055,-0.025712045443862314,-0.026936992744842393,0.03214259769573547,0.13190785582373415,0.021190810340454263,4.811216525446068e-4,0.05133171190274392,0.05228699964304451,0.009791660197982475,0.014487085196614192,0.03531627007405662,0.07932964817958665,0.35332769725902236,1,0.045221212185207485
0.04463738419444989,0.06488516159530264,0.010579399840988041,-0.059664650522126626,0.11090749738344843,0.14543610231010326,-0.1893988509427814,-0.3879752562070212,-0.1474260453025178,-0.023833133085197893,0.23696221933591888,-0.3910684582938371,0.9950311520481038,0.9941076893485447,0.997378890710925,0.9973759331854054,-0.42042501987093783,-0.18019128726110026,0.01783024719373365,0.012211371046324936,0.030419726917127746,0.045221212185207485,1
