Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L),Temperature (ºF),Temperature (ºC),pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L)
1,0.1016412747078769,-0.029207683549523304,0.04657739207807036,-0.09977641568007355,0.04563564437843081,-0.08637397745555547,0.5459510904326141,-0.09779268358380833,-0.10117583222379134,0.03991730260000248,0.04813392133135117,0.026569879672633658,0.038466424892695306,0.04393202357454125,-0.06118959147060139,0.024486333106926744,0.008663772567330348,0.02824652209625682,0.015393096299478616,-0.025118656412672115,0.04301072759864958
0.1016412747078769,1,0.2811621053050867,0.196124833573723,0.002455511196279457,0.25698467540188424,-0.041109071195030066,0.44475395674057006,0.2213104436496174,0.23985392347982157,-0.09145060798593156,-0.20219239787096632,-0.04946273641891966,-0.051382817099860624,-0.03788059244063225,-0.020728931810489876,-0.19949000780111686,0.16759295240933264,-0.3199226285489755,9.646445877313999e-4,0.022598237377566298,-0.01706117992179441
-0.029207683549523304,0.2811621053050867,1,0.6182073762130453,-0.13810855209147105,-0.06399844820356337,0.1487519483249983,-0.21128331324083688,0.3573402565662487,0.39676053224547353,-0.37824389540521436,-0.14181580521117387,0.10153259324213966,-0.04599583698754764,-0.04208406362997865,-0.10901015094998782,-0.42343059646422615,0.08202368183755435,-0.375260624842394,0.09725260965865397,-0.0929076608268337,0.06629930889772516
0.04657739207807036,0.196124833573723,0.6182073762130453,1,-0.07666298890409506,-0.12008867023601172,0.12378508656016138,-0.016070871532697022,0.0033642167469980617,0.11810769745217209,-0.2893485466990758,-0.2735088663127932,-0.07906473656456746,-0.05743728940686054,-0.05308553908180809,-0.031210275936087804,-0.1999821689114009,0.03408309281131744,-0.1982922530190593,0.07415178739159621,-0.12195831190842756,0.024022298306116394
-0.09977641568007355,0.002455511196279457,-0.13810855209147105,-0.07666298890409506,1,0.15242769386977617,-0.10041138082718154,0.2999942341547016,0.0930227242283767,-0.02231586719641225,-0.20149957636913093,-0.04241261666422177,0.0013246190658212707,0.03842410061590132,0.050290587294196554,0.09016496199311001,0.16394048353977722,0.21416799084685484,0.05699213128616943,0.01183764912601289,-0.13922865576443794,0.12823385772890789
0.04563564437843081,0.25698467540188424,-0.06399844820356337,-0.12008867023601172,0.15242769386977617,1,0.06873189661110404,-0.3809038332581483,0.46530705227587665,0.31253840308743147,0.1369585707123437,-0.09091551593251988,-0.08665442861312561,0.051067093769832754,0.06933592215037346,-0.0437984540384763,0.005334989000036057,0.09660678910765348,-0.4936383511827248,-0.0027416751082212777,0.23650320242095296,0.08375095560496454
-0.08637397745555547,-0.041109071195030066,0.1487519483249983,0.12378508656016138,-0.10041138082718154,0.06873189661110404,1,-0.4328243662501418,0.16832240194803816,0.20407979869237525,0.04660437889555008,-0.08113927938556435,-0.07392941375278092,-0.13513069517106727,-0.1250425454602747,-0.10982684125695302,-0.14528934149773923,-0.21180706755141512,-0.3613169178673738,-0.16867970067752713,-0.008713524956572894,-0.21660640706783774
0.5459510904326141,0.44475395674057006,-0.21128331324083688,-0.016070871532697022,0.2999942341547016,-0.3809038332581483,-0.4328243662501418,1,-0.4591816211459628,-0.45315052985559234,0.07770117501717762,-0.5113747415743038,-0.5471203567051288,-0.47352895878300405,-0.5576862547006785,0.2680307709767715,0.2570795558590294,0.24975068907015843,0.054356653811159124,-0.5260949750512673,-0.37474600878801645,-0.39619376831657943
-0.09779268358380833,0.2213104436496174,0.3573402565662487,0.0033642167469980617,0.0930227242283767,0.46530705227587665,0.16832240194803816,-0.4591816211459628,1,0.9971431901654334,0.13246433202279645,0.37154320322134776,0.6555702641933321,-0.07952454877565619,-0.11733474237213275,-0.13855784073374608,-0.3076591560102782,-0.16910042503207903,-0.5961607274465442,-0.001794703107392567,-0.012064780224364196,-0.04149464093556321
-0.10117583222379134,0.23985392347982157,0.39676053224547353,0.11810769745217209,-0.02231586719641225,0.31253840308743147,0.20407979869237525,-0.45315052985559234,0.9971431901654334,1,0.1307682365383031,0.2621393490628216,0.5808013050511709,-0.07723809437790123,-0.1154822225037166,-0.13814331468501695,-0.36821774112358574,-0.2232692636804822,-0.4744159258272922,-0.02644241435406193,-0.017507983974921412,-0.03952648053678771
